id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(avg nofperflm)
557;676;lh.parsopercularis_1;lh.precentral_23;47;51;ctx-lh-parsopercularis;ctx-lh-precentral;229;0.206704
468;507;rh.superiortemporal_24;Right-Hippocampus;32;40;ctx-rh-superiortemporal;Right-Hippocampus;223;0.190338
700;1009;lh.posteriorcingulate_8;Left-Caudate;55;77;ctx-lh-posteriorcingulate;Left-Caudate;382;0.470317
78;504;rh.rostralmiddlefrontal_6;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;277;0.147357
78;81;rh.rostralmiddlefrontal_6;rh.superiorfrontal_3;7;8;ctx-rh-rostralmiddlefrontal;ctx-rh-superiorfrontal;318;0.408269
990;1008;lh.transversetemporal_2;Left-Thalamus-Proper;74;76;ctx-lh-transversetemporal;Left-Thalamus-Proper;238;0.198839
413;507;rh.entorhinal_2;Right-Hippocampus;27;40;ctx-rh-entorhinal;Right-Hippocampus;274;0.196890
672;676;lh.precentral_22;lh.precentral_23;51;51;ctx-lh-precentral;ctx-lh-precentral;211;0.307776
769;1008;lh.superiorparietal_27;Left-Thalamus-Proper;59;76;ctx-lh-superiorparietal;Left-Thalamus-Proper;235;0.272449
769;991;lh.superiorparietal_27;lh.insula_5;59;75;ctx-lh-superiorparietal;ctx-lh-insula;311;0.594891
769;1010;lh.superiorparietal_27;Left-Putamen;59;78;ctx-lh-superiorparietal;Left-Putamen;318;0.351832
275;316;rh.superiorparietal_14;rh.precuneus_16;18;20;ctx-rh-superiorparietal;ctx-rh-precuneus;249;0.226843
275;315;rh.superiorparietal_14;rh.precuneus_10;18;20;ctx-rh-superiorparietal;ctx-rh-precuneus;282;0.281668
275;326;rh.superiorparietal_14;rh.precuneus_20;18;20;ctx-rh-superiorparietal;ctx-rh-precuneus;289;0.341120
751;758;lh.supramarginal_3;lh.supramarginal_15;58;58;ctx-lh-supramarginal;ctx-lh-supramarginal;281;0.376055
751;770;lh.supramarginal_3;lh.superiorparietal_25;58;59;ctx-lh-supramarginal;ctx-lh-superiorparietal;317;0.524997
606;612;lh.superiorfrontal_28;lh.superiorfrontal_36;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;233;0.282764
606;616;lh.superiorfrontal_28;lh.superiorfrontal_34;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;314;0.316603
60;504;rh.rostralmiddlefrontal_18;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;239;0.352348
